speaker,contributions,words,weight_topic_0,weight_topic_1,weight_topic_2,weight_topic_3,weight_topic_4,mean_topic_0,mean_topic_1,mean_topic_2,mean_topic_3,mean_topic_4,total_topic_weight
Dr Kieran Mullan (Bexhill and Battle),2,1445,0.0747214219027442,0.5007302450076913,0.0012413137641083276,0.11799016448586763,1.3053168548395884,0.0373607109513721,0.2503651225038456,0.0006206568820541638,0.058995082242933816,0.6526584274197942,1.9999999999999998
The Economic Secretary to the Treasury (Andrew Griffith),2,1518,0.3957004609709733,1.5024901171948524,0.0017626468939351092,0.09827625602183737,0.0017705189184016082,0.19785023048548664,0.7512450585974262,0.0008813234469675546,0.049138128010918686,0.0008852594592008041,1.9999999999999998
Alex Norris (Nottingham North),1,579,0.0007693201695754223,0.0007724012133382267,0.9969103652361334,0.0007721261982284218,0.0007757871827247327,0.0007693201695754223,0.0007724012133382267,0.9969103652361334,0.0007721261982284218,0.0007757871827247327,1.0000000000000002
Baroness Bowles of Berkhamsted,1,640,0.5326182794362603,0.4648436807910924,0.0008448242202964833,0.0008482479449256776,0.0008449676074253038,0.5326182794362603,0.4648436807910924,0.0008448242202964833,0.0008482479449256776,0.0008449676074253038,1.0000000000000002
Gareth Davies,1,129,0.004460987130910296,0.76328980646458,0.22331718755534613,0.0045199504963985915,0.004412068352765129,0.004460987130910296,0.76328980646458,0.22331718755534613,0.0045199504963985915,0.004412068352765129,1.0000000000000002
Kit Malthouse (North West Hampshire),1,209,0.39604743505440776,0.003225718462770067,0.2592285623335239,0.33827093680793585,0.0032273473413624654,0.39604743505440776,0.003225718462770067,0.2592285623335239,0.33827093680793585,0.0032273473413624654,1.0000000000000002
Lord Balfe,1,580,0.6356340157021799,0.0009833367616235878,0.0009728478909851653,0.3614270247087807,0.0009827749364308,0.6356340157021799,0.0009833367616235878,0.0009728478909851653,0.3614270247087807,0.0009827749364308,1.0000000000000002
Lord Forsyth of Drumlean,1,48,0.6193336627682826,0.3444911456537254,0.01206290125392709,0.012098875547773528,0.012013414776291514,0.6193336627682826,0.3444911456537254,0.01206290125392709,0.012098875547773528,0.012013414776291514,1.0000000000000002
Lord Fox,1,57,0.007786997724029378,0.007770449957518171,0.007766443776055693,0.9689595199459725,0.007716588596424335,0.007786997724029378,0.007770449957518171,0.007766443776055693,0.9689595199459725,0.007716588596424335,1.0000000000000002
Lord Northbrook,1,902,0.9751932327051182,0.0004343504642994733,0.0235145551447962,0.0004298267213760923,0.0004280349644101562,0.9751932327051182,0.0004343504642994733,0.0235145551447962,0.0004298267213760923,0.0004280349644101562,1.0000000000000002
Lord Sharkey,1,454,0.0011654286755442172,0.9157853513766502,0.0011722690683866354,0.0011539080315838331,0.08072304284783521,0.0011654286755442172,0.9157853513766502,0.0011722690683866354,0.0011539080315838331,0.08072304284783521,1.0000000000000002
Lord Vaux of Harrowden,1,860,0.7046164176923095,0.2232092930805218,0.0005692235742666405,0.0710192089519442,0.0005858567009580572,0.7046164176923095,0.2232092930805218,0.0005692235742666405,0.0710192089519442,0.0005858567009580572,1.0000000000000002
Sarah Olney (Richmond Park),1,1057,0.6000860142761089,0.2746841881047265,0.0005661001627244856,0.0005730908798099585,0.1240906065766303,0.6000860142761089,0.2746841881047265,0.0005661001627244856,0.0005730908798099585,0.1240906065766303,1.0000000000000002
The First Deputy Chairman,1,9,0.10000362345927725,0.10000268742868751,0.5993168926959065,0.1006730353460006,0.10000376107012826,0.10000362345927725,0.10000268742868751,0.5993168926959065,0.1006730353460006,0.10000376107012826,1.0000000000000002
"The Minister for Crime, Policing and Fire (Chris Philp)",1,25,0.010008970210387654,0.010030112054034392,0.9599106743144175,0.01000798607626602,0.010042257344894655,0.010008970210387654,0.010030112054034392,0.9599106743144175,0.01000798607626602,0.010042257344894655,1.0000000000000002
Aaron Bell,1,676,0.0009364917691914994,0.9962543056956993,0.0009348659032409909,0.0009425022461373769,0.0009318343857308487,0.0009364917691914994,0.9962543056956993,0.0009348659032409909,0.0009425022461373769,0.0009318343857308487,1.0
Alex Norris,1,247,0.002513080742078025,0.002506778791128814,0.9899482288974412,0.002525509884208337,0.0025064016851437084,0.002513080742078025,0.002506778791128814,0.9899482288974412,0.002525509884208337,0.0025064016851437084,1.0
Anthony Browne,1,397,0.6953048800071194,0.001180276159855747,0.0011597045086203192,0.30118883012355246,0.0011663092008519815,0.6953048800071194,0.001180276159855747,0.0011597045086203192,0.30118883012355246,0.0011663092008519815,1.0
Baroness Bennett of Manor Castle (GP) [V],1,816,0.34124988008943197,0.0007074574219446371,0.0007017541663970463,0.656634129443161,0.0007067788790654309,0.34124988008943197,0.0007074574219446371,0.0007017541663970463,0.656634129443161,0.0007067788790654309,1.0
Baroness Greengross,1,76,0.004536872669797493,0.8152192224334565,0.17110845939920763,0.0045973695590204285,0.004538075938517919,0.004536872669797493,0.8152192224334565,0.17110845939920763,0.0045973695590204285,0.004538075938517919,1.0
Baroness Neville-Rolfe,1,87,0.38817737776417166,0.5932579383848634,0.006161989187359843,0.006232159436037989,0.00617053522756722,0.38817737776417166,0.5932579383848634,0.006161989187359843,0.006232159436037989,0.00617053522756722,1.0
Baroness Wheatcroft,1,51,0.013508988384859128,0.49736688265001605,0.013577957812845848,0.46213322733395196,0.01341294381832705,0.013508988384859128,0.49736688265001605,0.013577957812845848,0.46213322733395196,0.01341294381832705,1.0
Chris Vince (Harlow),1,43,0.015899998110559935,0.9366302029207977,0.015634546572278772,0.015942921410650054,0.015892330985713504,0.015899998110559935,0.9366302029207977,0.015634546572278772,0.015942921410650054,0.015892330985713504,1.0
Christina Rees (in the Chair),1,31,0.19349902615098138,0.022475924638256626,0.02263158855305485,0.7391075091960895,0.022285951461617676,0.19349902615098138,0.022475924638256626,0.02263158855305485,0.7391075091960895,0.022285951461617676,1.0
Daisy Cooper (St Albans),1,222,0.0023520948829428524,0.002336605185827894,0.002348602962055514,0.9906383012495457,0.002324395719628064,0.0023520948829428524,0.002336605185827894,0.002348602962055514,0.9906383012495457,0.002324395719628064,1.0
Dan Jarvis,1,443,0.001174774835447032,0.0011702205856572098,0.9953082561202308,0.0011762609791937154,0.0011704874794713042,0.001174774835447032,0.0011702205856572098,0.9953082561202308,0.0011762609791937154,0.0011704874794713042,1.0
Darren Jones,1,203,0.002187243826732352,0.0021750344878620725,0.20215204702529094,0.7913221496021778,0.0021635250579368414,0.002187243826732352,0.0021750344878620725,0.20215204702529094,0.7913221496021778,0.0021635250579368414,1.0
Dr Mullan,1,50,0.013559555433126268,0.12243380832780544,0.013637668498146663,0.12528908794269028,0.7250798797982313,0.013559555433126268,0.12243380832780544,0.013637668498146663,0.12528908794269028,0.7250798797982313,1.0
Esther McVey (in the Chair),1,38,0.025620885237629634,0.025661784266673673,0.8978103519263665,0.02530234704880365,0.02560463152052659,0.025620885237629634,0.025661784266673673,0.8978103519263665,0.02530234704880365,0.02560463152052659,1.0
"Jeff Smith (Manchester, Withington)",1,1040,0.00048601701593753194,0.9980539024695569,0.0004855178762454551,0.0004905079974857075,0.0004840546407743692,0.00048601701593753194,0.9980539024695569,0.0004855178762454551,0.0004905079974857075,0.0004840546407743692,1.0
Lord Brennan of Canton,1,38,0.37850203397868576,0.011988215837188586,0.012147785885996338,0.5855002375220674,0.011861726776061942,0.37850203397868576,0.011988215837188586,0.012147785885996338,0.5855002375220674,0.011861726776061942,1.0
Lord Desai (Non-Afl),1,530,0.12771371535762055,0.0011636330763169403,0.0011533436531760157,0.8688133349614866,0.0011559729513998987,0.12771371535762055,0.0011636330763169403,0.0011533436531760157,0.8688133349614866,0.0011559729513998987,1.0
Lord Foulkes of Cumnock (Lab Co-op),1,78,0.47260179563817034,0.009674575858925656,0.009674460971628837,0.49834301322949137,0.009706154301783869,0.47260179563817034,0.009674575858925656,0.009674460971628837,0.49834301322949137,0.009706154301783869,1.0
Lord Freyberg,1,982,0.0005223076311959445,0.0005238200352700361,0.897652374853943,0.000524067066051084,0.10077743041353998,0.0005223076311959445,0.0005238200352700361,0.897652374853943,0.000524067066051084,0.10077743041353998,1.0
Lord Jones of Cheltenham (LD) [V],1,88,0.44837322535975505,0.5331668493762999,0.006144457814242703,0.006211303906245163,0.00610416354345727,0.44837322535975505,0.5331668493762999,0.006144457814242703,0.006211303906245163,0.00610416354345727,1.0
Lord King of Lothbury,1,1075,0.0005166377115416855,0.0005117019098930688,0.0005084225388755973,0.9979533177012001,0.0005099201384895037,0.0005166377115416855,0.0005117019098930688,0.0005084225388755973,0.9979533177012001,0.0005099201384895037,1.0
Lord Lee of Trafford,1,35,0.012663287103754552,0.8080020920475325,0.012632044150643179,0.15407354737172646,0.012629029326343367,0.012663287103754552,0.8080020920475325,0.012632044150643179,0.15407354737172646,0.012629029326343367,1.0
Lord McNicol of West Kilbride,1,47,0.009738869553541285,0.009742740662937708,0.009604751350113223,0.9612786288562222,0.009635009577185726,0.009738869553541285,0.009742740662937708,0.009604751350113223,0.9612786288562222,0.009635009577185726,1.0
Lord Mountevans,1,514,0.73525258473135,0.26177039602438856,0.0009879512989467698,0.000996784742161722,0.0009922832031528776,0.73525258473135,0.26177039602438856,0.0009879512989467698,0.000996784742161722,0.0009922832031528776,1.0
